Div,Date,Time,HomeTeam,AwayTeam,HomeGoals,AwayGoals,Result,HalfTimeHG,HalfTimeAG,HalfTimeResult,HomeShots,AwayShots,HomeShotsOnTarget,AwayShotsOnTarget,HomeFouls,AwayFouls,HomeCorners,AwayCorners,HomeYellows,AwayYellows,HomeReds,AwayReds
SP1,10/23/2023,20:00,Valencia,Cadiz,2,0,H,2,0,H,12,5,4,4,16,16,4,6,0,3,0,1
SP1,10/22/2023,13:00,Las Palmas,Vallecano,0,1,A,0,0,D,12,12,6,4,13,11,10,5,4,3,0,1
SP1,10/22/2023,15:15,Girona,Almeria,5,2,H,3,2,H,19,9,8,5,11,14,9,6,1,2,0,0
SP1,10/22/2023,17:30,Villarreal,Alaves,1,1,D,0,0,D,12,16,3,7,15,10,9,3,4,3,0,0
SP1,10/22/2023,20:00,Barcelona,Ath Bilbao,1,0,H,0,0,D,12,10,7,3,11,18,4,7,3,3,0,0
SP1,10/21/2023,13:00,Sociedad,Mallorca,1,0,H,0,0,D,14,18,6,7,14,16,2,5,3,3,0,0
SP1,10/21/2023,15:15,Getafe,Betis,1,1,D,1,1,D,14,13,4,3,17,11,4,8,5,2,0,0
SP1,10/21/2023,17:30,Sevilla,Real Madrid,1,1,D,0,0,D,17,14,7,5,13,6,4,6,5,2,0,0
SP1,10/21/2023,20:00,Celta,Ath Madrid,0,3,A,0,1,A,16,12,3,7,10,10,7,5,3,2,1,0
SP1,10/20/2023,20:00,Osasuna,Granada,2,0,H,1,0,H,12,13,6,3,19,13,1,7,3,4,0,1
SP1,10/8/2023,13:00,Villarreal,Las Palmas,1,2,A,0,1,A,9,8,4,5,17,7,7,2,4,4,0,0
SP1,10/8/2023,15:15,Ath Madrid,Sociedad,2,1,H,1,0,H,14,13,5,4,9,12,1,4,3,3,0,0
SP1,10/8/2023,17:30,Alaves,Betis,1,1,D,1,1,D,15,6,5,2,13,9,5,3,3,3,0,1
SP1,10/8/2023,17:30,Celta,Getafe,2,2,D,2,2,D,26,3,11,2,14,20,13,1,1,8,0,1
SP1,10/8/2023,20:00,Granada,Barcelona,2,2,D,2,1,H,7,22,2,10,12,7,1,11,4,1,0,0
SP1,10/7/2023,13:00,Cadiz,Girona,0,1,A,0,0,D,8,20,2,5,12,13,5,5,1,3,1,0
